Вопрос,Ответ
Имеет ли право продавец навязывать мне дополнительные товары или услуги при покупке?,"Нет, в соответствии со статьей 16 Закона РФ ""О защите прав потребителей"", запрещается обусловливать приобретение одних товаров (работ, услуг) обязательным приобретением других товаров (работ, услуг).
    
12."
Как регулируется вопрос дистанционной продажи товаров (через интернет)?,"Согласно статье 26.1 Закона РФ ""О защите прав потребителей"", при дистанционном способе продажи товаров продавец обязан предоставить потребителю полную и достоверную информацию о товаре, а потребитель вправе отказаться от товара в любое время до его передачи, а после передачи товара - в течение семи дней.
    
13."
"Что делать, если доставленный товар при дистанционной продаже не соответствует описанию?","В соответствии со статьей 26.1 Закона РФ ""О защите прав потребителей"", если доставленный товар не соответствует описанию, потребитель вправе отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной5 за товар суммы.
    
14."
Какие права у меня есть при оказании услуг ненадлежащего качества?,"Согласно статье 29 Закона РФ ""О защите прав потребителей"", при обнаружении недостатков оказанной услуги потребитель вправе потребовать безвозмездного устранения недостатков, соразмерного уменьшения цены оказанной услуги, повторного оказания услуги6 или возмещения понесенных им расходов по устранению недостатков оказанной услуги своими силами или третьими лицами.
    
15."
В какой срок должны быть устранены недостатки оказанной услуги?,"В соответствии со статьей 30 Закона РФ ""О защите прав потребителей"", недостатки7 работы (услуги) должны быть устранены исполнителем в разумный срок, назначенный потребителем.
    
16."
"Что делать, если исполнитель нарушает сроки оказания услуги?","Согласно статье 28 Закона РФ ""О защите прав потребителей"", в случае нарушения исполнителем сроков выполнения работы (оказания услуги) потребитель имеет определенные права, включая назначение нового срока или отказ от договора.
    
17."
Как регулируется вопрос безопасности товаров?,"В соответствии со статьей 7 Закона РФ ""О защите прав потребителей"", изготовитель (исполнитель, продавец) обязан обеспечить безопасность товара (работы, услуги) в течение установленного срока службы или срока годности товара (работы, услуги).
    
18."
"Что делать, если товар причинил вред моему здоровью?","Согласно статье 14 Закона РФ ""О защите прав потребителей"", в случае причинения вреда жизни, здоровью или имуществу потребителя вследствие недостатков товара, работы или услуги потребитель вправе потребовать полного возмещения причиненных убытков.
    
19."
"В течение какого срока я могу предъявить требования о возмещении вреда, причиненного некачественным товаром?","В соответствии со статьей 14 Закона РФ ""О защите прав потребителей"", требования о возмещении вреда могут быть предъявлены в течение срока службы или срока годности, а при их отсутствии - в течение десяти лет со дня производства.
    
20."
"Кто несет ответственность за вред, причиненный некачественным товаром?8","Согласно статье 14 Закона РФ ""О защите прав потребителей"", ответственность за вред несет изготовитель (исполнитель, продавец).
    
21."
Что такое срок годности товара?,"В соответствии со статьей 5 Закона РФ ""О защите прав потребителей"", срок годности товара - это период, по истечении которого товар считается непригодным для использования по назначению.
    
22."
Могу ли я вернуть товар с истекшим сроком годности?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", продажа товара по истечении срока годности запрещена, и потребитель имеет право на замену или возврат средств.
    
23."
Как регулируется вопрос обмена товаров надлежащего качества?,"В соответствии со статьей 25 Закона РФ ""О защите прав потребителей"", потребитель вправе обменять непродовольственный товар надлежащего качества в течение четырнадцати дней при соблюдении определенных условий.
    
24."
Какие товары надлежащего качества не подлежат обмену или возврату?,"Перечень таких товаров установлен Постановлением Правительства Российской Федерации в соответствии со статьей 25 Закона РФ ""О защите прав потребителей"".
    
25."
"Что делать, если продавец отказывается принять обратно товар надлежащего качества, который мне не подошел?","В соответствии со статьей 25 Закона РФ ""О защите прав потребителей"", в случае отказа продавца следует обратиться с письменным заявлением, а при неудовлетворении требования – в уполномоченные органы или в суд.
    
26."
Как регулируется вопрос ответственности продавца за нарушение прав потребителей?,"Согласно статье 13 Закона РФ ""О защите прав потребителей"", за нарушение прав потребителей продавец несет ответственность, предусмотренную законом или договором.
    
27."
В каком размере может быть взыскана неустойка за нарушение сроков удовлетворения требований потребителя?,"В соответствии со статьей 23 Закона РФ ""О защите прав потребителей"", за нарушение сроков удовлетворения требований потребителя выплачивается неустойка в размере одного процента цены товара за каждый день просрочки.
    
28."
В каком размере может быть взыскан штраф с продавца за неудовлетворение требований потребителя в добровольном порядке?9,"Согласно пункту 6 статьи 13 Закона РФ ""О защите прав потребителей"", при удовлетворении судом требований потребителя взыскивается штраф в размере пятьдесят процентов от суммы, присужденной судом в пользу потребителя.
    
29."
Какую роль играют общественные объединения потребителей в защите прав потребителей?,"В соответствии со статьей 45 Закона РФ ""О защите прав потребителей"", общественные объединения потребителей вправе осуществлять общественный контроль и обращаться в суд в защиту прав потребителей.
    
30."
Могут ли органы местного самоуправления защищать права потребителей?,"Да, согласно статье 46 Закона РФ ""О защите прав потребителей"", органы местного самоуправления вправе предъявлять иски в суды в защиту прав потребителей.
    

31."
Что такое существенный недостаток товара?,"Определение существенного недостатка товара дано в преамбуле Закона РФ ""О защите10 прав потребителей"".

32."
Какие права у меня есть при обнаружении существенного недостатка товара?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", при обнаружении существенного недостатка товара потребитель имеет определенные права, включая требование о замене товара или возврате уплаченной суммы.
    
33."
В какой срок должно быть удовлетворено требование потребителя о безвозмездном устранении существенного недостатка товара?,"В соответствии со статьей 20 Закона РФ ""О защите прав потребителей"", требование о безвозмездном устранении недостатков должно быть удовлетворено в течение определенного срока.
    
34."
"Что делать, если продавец отказывается проводить гарантийный ремонт товара?","В соответствии со статьей 18 Закона РФ ""О защите прав потребителей"", в случае отказа потребитель имеет право обратиться с иными требованиями, предусмотренными законом.
    
35."
Как регулируется вопрос проведения экспертизы товара при возникновении спора о его качестве?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", при возникновении спора продавец обязан провести экспертизу товара за свой счет.
    
36."
В какой срок продавец должен вернуть деньги за товар ненадлежащего качества?,"В соответствии со статьей 22 Закона РФ ""О защите прав потребителей"", требование о возврате денег должно быть удовлетворено в течение десяти дней.
    
37."
"Как определяется цена товара, работы или услуги?","Цена определяется по соглашению сторон в соответствии со статьей 424 Гражданского кодекса Российской Федерации, если иное не предусмотрено законом (статья 10 Закона РФ ""О защите прав потребителей"").
    
38."
Обязан ли продавец выдать мне кассовый чек при покупке?,"Да, в соответствии с Федеральным законом от 22 мая 2003 г. N 54-ФЗ ""О применении контрольно-кассовой техники при осуществлении расчетов в Российской Федерации"", продавец обязан выдать кассовый чек.
    
39."
"Что делать, если мне оказали услугу, которая не соответствует условиям договора?","Согласно статье 29 Закона РФ ""О защите прав потребителей"", потребитель имеет право потребовать безвозмездного устранения недостатков, уменьшения цены или повторного оказания услуги.
    
40."
Как регулируется вопрос ответственности исполнителя за нарушение прав потребителей при оказании услуг?,"В соответствии со статьей 13 и главой III Закона РФ ""О защите прав потребителей"", исполнитель несет ответственность за нарушение прав потребителей.
    
41."
Могу ли я отказаться от исполнения договора оказания услуг?,"Да, согласно статье 32 Закона РФ ""О защите прав потребителей"", потребитель вправе отказаться от исполнения договора при условии оплаты фактически понесенных расходов.
    
42."
Как регулируется вопрос ответственности за предоставление недостоверной информации о товаре?,"В соответствии со статьей 12 Закона РФ ""О защите прав потребителей"", продавец несет ответственность за предоставление недостоверной информации.
    
43."
"Что делать, если мои права потребителя были нарушены?","В случае нарушения прав потребителя следует обратиться с претензией, а затем в уполномоченные органы или суд (статья 17 Закона РФ ""О защите прав потребителей"").
    
44."
Какие сроки исковой11 давности установлены для требований потребителей?,"Сроки исковой давности регулируются Гражданским кодексом Российской Федерации, статья 196 и последующие.
    
45."
"Имею ли я право на компенсацию морального вреда, если мои права потребителя были нарушены?","Да, согласно статье 15 Закона РФ ""О защите прав потребителей"", потребитель имеет право на компенсацию морального вреда.
    
46."
Как определяется размер компенсации морального вреда?,"Размер компенсации морального вреда определяется судом в соответствии со статьей 15 Закона РФ ""О защите прав потребителей"".
    
47."
Могут ли условия договора с продавцом ограничивать мои права как потребителя?,"Нет, согласно статье 16 Закона РФ ""О защите прав потребителей"", условия договора, ущемляющие права потребителя, признаются недействительными.
    
48."
Какова роль прокуратуры в защите прав потребителей?,"В соответствии со статьей 46 Закона РФ ""О защите прав потребителей"", органы прокуратуры вправе обращаться в суд в защиту прав потребителей.
    
49."
Могу ли я обратиться в суд по месту своего жительства с иском о защите прав потребителей?,"Да, статья 17 Закона РФ ""О защите прав потребителей"" предоставляет потребителю право выбора суда.
    
50."
Освобождаются ли потребители от уплаты государственной пошлины при обращении в суд с иском о защите своих прав?,"Да, в соответствии со статьей 17 Закона РФ ""О защите прав потребителей"" и законодательством о государственной пошлине, потребители освобождаются от уплаты государственной пошлины по искам о защите прав потребителей."
